subject_id,T1_1 Country,T1_1 County,T1_1 State/Province,T3_1 Locality,T4_1 Other Notes,T6_1 Collector,T8_1 Begin Month,T9_1 Begin Day,T10_1 Begin Year,T13_1 End Month,T14_1 End Day,T15_1 End Year,T19_1 Associated Plant or Plant Host,T20_1 Trap Type,T21_1 Determined By (Det. as),T22_1 Date of Determination,T23_1 Sex,T26_1 Elevation,Filename
81431246,United States of America,Tulare,California,Kaweah,Andrena (Melandrena) cerasifolii; Andrena cerasifolii Ckll. det. Snelling '57; Andrena (Melandrena) cerasifolii Ckll.,F. T. Scott,6 - June - VI,2,1938,,,,,,Snelling & W. E. LaBerge,1957,♀,,LACMENT591728_had_lbs.jpg
81431248,United States of America,Mariposa,California,14 mi. E. Mariposa,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R. R. Snelling,5 - May - V,30,1960,,,,,,W. E. LaBerge,V - 30 - 1960,,,LACMENT591729_had_lbs.jpg
81431250,United States of America,Los Angeles,California,Beverly Glen,Andrena (Melandrena) cerasifolii; U.C.L.A.Coll. Accessioned L.A.C.M. 1965; Andrena (Melandrena) cerasifolii Ckll.,Accessioned,5 - May - V,9,1953,,,,,,W. E. LaBerge,,,,LACMENT591730_had_lbs.jpg
81431251,United States of America,Los Angeles,California,Westwood,Andrena (Melandrena) cerasifolii. U.C.L.A. Coll. Accessioned L.A.C.M. 1965. Andrena (Melandrena) cerasifolii Ckll.,F. Resnik,5 - May - V,3,1962,,,,,,W. E. LaBerge,,,,LACMENT591731_had_lbs.jpg
81431253,United States of America,Ventura,California,"Hungry Valley, 5 mi. S. Gorman",Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,G. I. Stage,4 - April - IV,10,1960,,,,Phacelia,,W. E. LaBerge,,,,LACMENT591732_had_lbs.jpg
81431255,United States of America,Riverside,California,Gavilan,Andrena (Melandrena) cerasifolii; Andrena mimetica falli Ckll. Timb. det.; Andrena (Melandrena) cerasifolii Ckll.,C. M. Dammers v,3 - March - III,Not shown,1932,,,,not shown,,W. E. LaBerge,not shown,,,LACMENT591733_had_lbs.jpg
81431257,United States of America,,California,Mojave,Andrena (Melandrena) cerasifolii; Andrena mimetica Ckll. Timb. det.; Andrena (Melandrena) cerasifolii Ckll.,FTScott,6 - June - VI,8,1938,,,,,,W. E. LaBerge,,,,LACMENT591734_had_lbs.jpg
81431259,United States of America,Tuolumne,California,Chinese Camp,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,"R. R. Snelling, M. D. Snelling",4 - April - IV,1,1961,,,,Ceanothus sp.,,W. E. LaBerge,,,,LACMENT591735_had_lbs.jpg
81431261,United States of America,Mariposa,California,Exchequer Dam,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,R.R.Snelling,3 - March - III,29,1961,,,,Lupinus,,W. E. LaBerge,,,,LACMENT591736_had_lbs.jpg
81431263,United States of America,Kern,California,Frazier Park,Andrena (Melandrena) cerasifolii; Andrena (Melandrena) cerasifolii Ckll.,,6 - June - VI,8,1957,,,,,,W. E. LaBerge,,,,LACMENT591737_had_lbs.jpg
